datetime,小汽车数量,自行车数量,公交车数量,卡车数量,总车辆数量,交通状况,hour,weekday,is_weekend
2021-07-10 00:00:00,13,2,2,24,41,normal,0,5,0
2021-07-10 00:15:00,14,1,1,36,52,normal,0,5,0
2021-07-10 00:30:00,10,2,2,32,46,normal,0,5,0
2021-07-10 00:45:00,10,2,2,36,50,normal,0,5,0
2021-07-10 01:00:00,11,2,1,34,48,normal,1,5,0
2021-07-10 01:15:00,15,1,1,39,56,normal,1,5,0
2021-07-10 01:30:00,14,2,2,27,45,normal,1,5,0
2021-07-10 01:45:00,13,2,1,20,36,normal,1,5,0
2021-07-10 02:00:00,7,0,0,26,33,normal,2,5,0
2021-07-10 02:15:00,13,0,0,34,47,normal,2,5,0
2021-07-10 02:30:00,15,2,0,38,55,normal,2,5,0
2021-07-10 02:45:00,5,2,0,37,44,normal,2,5,0
2021-07-10 03:00:00,9,1,0,34,44,normal,3,5,0
2021-07-10 03:15:00,8,0,2,35,45,normal,3,5,0
2021-07-10 03:30:00,7,0,0,34,41,normal,3,5,0
2021-07-10 03:45:00,10,1,2,38,51,normal,3,5,0
2021-07-10 04:00:00,82,7,3,10,102,low,4,5,0
2021-07-10 04:15:00,71,3,0,30,104,normal,4,5,0
2021-07-10 04:30:00,89,10,2,10,111,low,4,5,0
2021-07-10 04:45:00,77,3,0,18,98,low,4,5,0
2021-07-10 05:00:00,90,2,0,22,114,normal,5,5,0
2021-07-10 05:15:00,84,1,7,23,115,normal,5,5,0
2021-07-10 05:30:00,88,8,6,10,112,normal,5,5,0
2021-07-10 05:45:00,97,27,15,8,147,normal,5,5,0
2021-07-10 06:00:00,107,10,24,11,152,normal,6,5,0
2021-07-10 06:15:00,82,26,11,5,124,normal,6,5,0
2021-07-10 06:30:00,93,16,24,10,143,normal,6,5,0
2021-07-10 06:45:00,128,18,14,6,166,normal,6,5,0
2021-07-10 07:00:00,110,19,12,14,155,normal,7,5,0
2021-07-10 07:15:00,122,13,10,5,150,normal,7,5,0
